timestamp,gpu_util_%,vram_used_mb,vram_total_mb,gpu_temp_c,power_w
11:55:39,0,316,4096,48,8.91
11:55:50,0,536,4096,49,8.93
11:56:00,0,536,4096,49,8.94
11:56:10,0,536,4096,49,8.88
11:56:20,0,536,4096,49,8.94
11:56:30,80,2550,4096,55,48.76
11:56:40,96,2600,4096,58,52.67
11:56:50,79,2586,4096,60,36.01
11:57:00,87,2592,4096,62,54.33
11:57:10,90,1554,4096,62,45.32
11:57:20,99,2541,4096,65,53.80
11:57:30,70,2541,4096,65,53.40
11:57:40,99,2559,4096,65,50.12
11:57:50,92,2559,4096,65,67.62
11:58:00,99,2567,4096,65,62.97
11:58:10,73,2567,4096,63,76.90
11:58:20,50,1589,4096,63,52.90
11:58:30,70,2559,4096,63,62.74
11:58:41,65,2559,4096,64,52.04
11:58:51,99,2541,4096,63,62.34
11:59:01,88,2541,4096,64,63.24
11:59:11,74,2575,4096,64,60.54
11:59:21,95,2575,4096,64,61.01
11:59:31,99,2567,4096,64,62.75
11:59:41,89,2567,4096,63,56.88
11:59:51,76,2541,4096,63,61.79
12:00:01,80,2543,4096,63,63.36
12:00:11,63,1731,4096,64,48.73
12:00:21,81,2567,4096,63,62.06
12:00:31,70,2567,4096,63,61.66
12:00:41,86,2563,4096,63,60.35
12:00:51,99,2563,4096,64,61.76
12:01:02,98,2567,4096,64,61.70
12:01:12,78,2567,4096,63,60.93
12:01:22,99,2571,4096,64,61.41
12:01:32,86,2571,4096,64,62.08
12:01:42,72,2569,4096,64,60.43
12:01:52,62,2575,4096,64,61.59
12:02:02,81,1695,4096,63,56.46
12:02:12,77,2541,4096,64,61.33
12:02:22,55,1685,4096,61,60.55
12:02:32,99,2569,4096,63,61.64
12:02:42,99,2569,4096,64,61.83
12:02:52,90,2565,4096,63,62.91
12:03:02,94,2565,4096,63,63.45
12:03:12,76,2565,4096,64,61.82
12:03:22,73,2565,4096,63,62.86
12:03:32,94,2567,4096,63,61.73
12:03:42,72,2567,4096,64,60.29
12:03:52,71,2567,4096,62,39.19
12:04:03,86,2567,4096,64,60.92
12:04:13,54,1639,4096,64,53.93
12:04:23,99,2549,4096,63,61.67
12:04:33,81,2549,4096,63,60.75
12:04:43,74,2571,4096,64,62.59
12:04:53,96,2571,4096,64,63.13
12:05:03,72,2563,4096,63,61.19
12:05:13,74,2563,4096,62,60.90
12:05:23,77,2559,4096,64,61.49
12:05:33,88,2559,4096,64,61.77
12:05:43,79,2539,4096,64,61.37
12:05:53,67,2541,4096,63,63.24
12:06:03,4,2133,4096,59,41.54
12:06:13,69,2577,4096,63,59.73
12:06:23,86,1683,4096,62,54.26
12:06:33,89,2554,4096,64,61.83
12:06:43,99,2547,4096,64,62.71
12:06:53,99,2541,4096,64,62.47
12:07:04,73,2541,4096,64,61.10
12:07:14,71,2567,4096,64,62.92
12:07:24,98,2567,4096,63,62.36
12:07:34,98,2569,4096,63,61.32
12:07:44,83,2569,4096,63,63.54
12:07:54,70,2573,4096,60,21.75
12:08:04,66,2573,4096,63,61.21
12:08:14,79,1591,4096,62,52.17
12:08:24,75,2571,4096,64,61.88
12:08:34,75,2571,4096,63,58.82
12:08:44,87,2571,4096,63,62.33
12:08:54,76,2571,4096,64,62.13
12:09:04,99,2549,4096,64,63.29
12:09:14,86,2549,4096,63,63.22
12:09:24,70,2575,4096,63,62.44
12:09:34,99,2575,4096,64,61.60
12:09:44,75,2567,4096,64,47.02
12:09:54,72,2567,4096,64,61.48
12:10:05,90,1605,4096,62,55.97
12:10:15,75,2541,4096,64,61.12
12:10:25,0,1338,4096,60,56.41
12:10:35,99,2575,4096,64,60.68
12:10:45,74,2575,4096,63,60.63
12:10:55,74,2571,4096,62,63.38
12:11:05,75,2571,4096,64,63.49
12:11:15,46,2547,4096,62,60.21
12:11:25,19,2541,4096,63,59.40
12:11:35,99,2567,4096,63,62.08
12:11:45,74,2567,4096,64,61.52
12:11:55,83,2577,4096,62,31.03
12:12:05,75,2577,4096,63,61.88
12:12:15,62,1695,4096,63,50.73
12:12:25,42,2565,4096,62,55.05
12:12:35,99,2565,4096,64,63.05
12:12:45,92,2569,4096,64,63.33
12:12:56,94,2569,4096,63,55.37
12:13:06,75,2575,4096,64,61.43
12:13:16,70,2575,4096,63,62.01
12:13:26,99,2549,4096,64,71.81
12:13:36,71,2549,4096,64,61.05
12:13:46,72,2563,4096,63,60.90
12:13:56,87,2563,4096,64,55.94
12:14:06,78,1695,4096,62,56.04
12:14:16,88,2559,4096,63,63.37
12:14:26,0,1689,4096,61,52.98
12:14:36,84,2569,4096,63,61.34
12:14:46,93,2569,4096,64,61.00
12:14:56,82,2567,4096,64,62.22
12:15:06,73,2567,4096,63,60.22
