epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.2467,2.19365,3.14169,1.42243,0.38176,0.43914,0.33243,0.15514,1.74292,2.08056,1.2592,0.00033,0.00033,0.00033
2,48.0847,1.48776,1.33382,1.08604,0.2381,0.21861,0.16817,0.03969,3.06553,2.35182,1.94471,0.000656766,0.000656766,0.000656766
3,71.6869,1.46834,1.21733,1.08214,0.69153,0.72168,0.7541,0.43716,1.25299,1.45341,1.11913,0.000976933,0.000976933,0.000976933
4,94.2464,1.35749,1.07274,1.04904,0.63548,0.58707,0.60851,0.25296,2.04182,1.60299,1.41469,0.0009703,0.0009703,0.0009703
5,116.287,1.37274,0.99859,1.04479,0.67276,0.64844,0.68645,0.23767,2.184,1.49225,1.45517,0.0009604,0.0009604,0.0009604
6,138.696,1.27321,0.8974,1.01828,0.53763,0.42183,0.44445,0.13073,2.70374,1.71752,1.80494,0.0009505,0.0009505,0.0009505
7,160.71,1.24511,0.83707,1.00573,0.57172,0.50897,0.49436,0.14842,2.60469,1.49383,1.71321,0.0009406,0.0009406,0.0009406
8,182.672,1.29089,0.8465,1.01974,0.78778,0.85266,0.87187,0.58439,1.16473,1.00267,1.05929,0.0009307,0.0009307,0.0009307
9,204.753,1.23443,0.79936,0.99488,0.85404,0.76736,0.87271,0.56976,1.17251,0.92276,1.06954,0.0009208,0.0009208,0.0009208
10,227.326,1.23611,0.78869,1.00146,0.59941,0.54367,0.5138,0.11439,2.86345,1.58415,1.87151,0.0009109,0.0009109,0.0009109
11,249.415,1.19231,0.75433,1.00037,0.84337,0.75357,0.87971,0.60133,1.09634,0.93167,1.07911,0.000901,0.000901,0.000901
12,271.631,1.19172,0.73127,0.98879,0.70604,0.67303,0.71222,0.19615,2.6413,1.33119,1.76139,0.0008911,0.0008911,0.0008911
13,293.68,1.13255,0.70951,0.97715,0.79818,0.82248,0.89363,0.55288,1.27268,0.96692,1.11004,0.0008812,0.0008812,0.0008812
14,315.84,1.15194,0.70383,0.98265,0.7934,0.66524,0.7335,0.26488,2.22074,1.35103,1.47951,0.0008713,0.0008713,0.0008713
15,337.627,1.12471,0.71824,0.98013,0.77687,0.73336,0.80566,0.36421,1.89933,1.06226,1.32597,0.0008614,0.0008614,0.0008614
16,359.525,1.11664,0.682,0.97226,0.85185,0.81463,0.90235,0.47773,1.56463,0.93426,1.21159,0.0008515,0.0008515,0.0008515
17,381.537,1.08573,0.65791,0.96521,0.78884,0.71023,0.80202,0.31249,2.13098,1.12248,1.48261,0.0008416,0.0008416,0.0008416
18,403.254,1.07793,0.63619,0.95568,0.82676,0.7911,0.88884,0.57183,1.24797,0.88739,1.10393,0.0008317,0.0008317,0.0008317
19,425.258,1.13601,0.65957,0.96479,0.8513,0.78049,0.86441,0.42477,1.72643,0.98934,1.28236,0.0008218,0.0008218,0.0008218
20,447.049,1.09488,0.64966,0.969,0.80729,0.79107,0.85569,0.42503,1.75787,1.02487,1.29087,0.0008119,0.0008119,0.0008119
21,469.065,1.03784,0.6102,0.95146,0.85041,0.79938,0.87444,0.44811,1.72809,0.93119,1.29308,0.000802,0.000802,0.000802
22,490.847,1.13186,0.6612,0.96291,0.85906,0.82321,0.91398,0.64806,1.03366,0.77234,1.03144,0.0007921,0.0007921,0.0007921
23,512.939,1.0668,0.61386,0.94821,0.62842,0.4891,0.51154,0.10961,3.08558,1.3805,2.06111,0.0007822,0.0007822,0.0007822
24,534.839,1.0562,0.61062,0.94859,0.79203,0.76303,0.82418,0.30053,2.20606,1.03972,1.4632,0.0007723,0.0007723,0.0007723
25,556.866,1.01293,0.58031,0.94271,0.85072,0.80777,0.89867,0.46159,1.73021,0.89249,1.27302,0.0007624,0.0007624,0.0007624
26,578.572,1.02929,0.59866,0.93593,0.82384,0.82764,0.89631,0.43107,1.77094,0.93183,1.29491,0.0007525,0.0007525,0.0007525
27,600.632,1.01982,0.58601,0.94021,0.81026,0.7675,0.84936,0.34211,2.11083,1.08022,1.46977,0.0007426,0.0007426,0.0007426
28,622.391,0.97871,0.57646,0.92488,0.83356,0.80083,0.85874,0.38326,1.93129,1.00506,1.38482,0.0007327,0.0007327,0.0007327
29,644.219,1.02165,0.58325,0.94184,0.84237,0.87646,0.93028,0.59262,1.27101,0.83882,1.07891,0.0007228,0.0007228,0.0007228
30,666.357,1.01534,0.57675,0.93427,0.86491,0.83541,0.92613,0.58647,1.27698,0.86662,1.0894,0.0007129,0.0007129,0.0007129
31,688.217,1.0052,0.57727,0.93635,0.86997,0.83023,0.88111,0.4267,1.76333,0.89126,1.32342,0.000703,0.000703,0.000703
32,710.978,0.98159,0.56443,0.93584,0.80074,0.75624,0.81946,0.33549,1.97966,1.08847,1.39064,0.0006931,0.0006931,0.0006931
33,732.908,0.99742,0.56798,0.93594,0.84433,0.84507,0.92755,0.65973,1.04094,0.80546,1.03026,0.0006832,0.0006832,0.0006832
