timestamp,gpu_util_%,vram_used_mb,vram_total_mb,gpu_temp_c,power_w
18:28:47,0,0,4096,44,8.64
18:28:57,0,249,4096,44,8.73
18:29:08,0,249,4096,44,8.66
18:29:18,0,249,4096,44,8.66
18:29:28,0,249,4096,44,8.62
18:29:38,100,3953,4096,49,61.67
18:29:48,67,3943,4096,49,40.07
18:29:58,99,3947,4096,51,43.47
18:30:08,100,3941,4096,52,41.30
18:30:18,100,3941,4096,52,39.51
18:30:28,100,3941,4096,54,39.90
18:30:38,100,3941,4096,54,39.93
18:30:48,81,3941,4096,54,39.83
18:30:58,100,3941,4096,55,39.63
18:31:08,99,3941,4096,56,42.99
18:31:18,1,3893,4096,54,17.09
18:31:28,100,3929,4096,55,39.50
18:31:38,83,3931,4096,56,40.75
18:31:48,100,3931,4096,57,41.78
18:31:59,100,3931,4096,58,49.76
18:32:09,100,3931,4096,57,37.88
18:32:19,100,3931,4096,57,45.33
18:32:29,100,3931,4096,58,45.19
18:32:39,100,3931,4096,57,40.70
18:32:49,44,2363,4096,58,54.01
18:32:59,99,3915,4096,58,42.05
18:33:09,100,3915,4096,58,41.46
18:33:19,100,3915,4096,58,39.83
18:33:29,100,3915,4096,57,41.20
18:33:39,100,3915,4096,58,41.86
18:33:49,82,3915,4096,57,41.60
18:33:59,82,3915,4096,57,38.48
18:34:09,92,3915,4096,58,40.51
18:34:20,100,3915,4096,58,42.78
18:34:30,82,3903,4096,59,44.26
18:34:40,99,3903,4096,60,48.07
18:34:50,82,3905,4096,59,45.26
18:35:00,100,3905,4096,59,44.85
18:35:10,100,3905,4096,59,45.45
18:35:20,100,3905,4096,60,47.61
18:35:30,100,3905,4096,60,45.73
18:35:40,81,3905,4096,59,46.94
18:35:50,100,3889,4096,60,43.30
18:36:01,72,3889,4096,61,46.35
18:36:11,100,3889,4096,60,43.99
18:36:21,100,3889,4096,60,44.97
18:36:31,91,3889,4096,59,42.36
18:36:41,81,3889,4096,59,42.66
18:36:51,100,3889,4096,61,46.80
18:37:01,94,3889,4096,60,45.41
18:37:11,69,2509,4096,61,64.43
18:37:21,99,3889,4096,61,38.72
18:37:31,100,3889,4096,61,46.13
18:37:41,100,3889,4096,60,39.63
18:37:51,100,3889,4096,59,43.73
18:38:01,99,3889,4096,61,48.30
18:38:11,100,3891,4096,62,50.45
18:38:22,100,3891,4096,60,40.98
18:38:32,100,3891,4096,60,49.50
18:38:42,100,2419,4096,62,53.70
18:38:52,99,3914,4096,62,49.83
18:39:02,83,3907,4096,60,44.89
18:39:12,99,3909,4096,61,49.55
18:39:22,79,3909,4096,61,47.65
18:39:32,100,3909,4096,62,46.13
18:39:42,82,3909,4096,61,47.39
18:39:52,100,3909,4096,60,44.00
18:40:02,91,2447,4096,61,54.55
18:40:12,83,3883,4096,61,45.14
18:40:22,100,3885,4096,61,45.41
18:40:32,100,3885,4096,61,44.95
18:40:43,100,3885,4096,61,45.83
18:40:53,100,3885,4096,61,45.29
18:41:03,100,3885,4096,61,44.66
18:41:13,100,3885,4096,61,45.28
18:41:23,100,3885,4096,61,45.24
18:41:33,100,3897,4096,61,46.53
18:41:43,100,3897,4096,61,47.23
18:41:53,100,3897,4096,61,45.54
18:42:03,100,3897,4096,61,45.16
18:42:13,100,3897,4096,61,47.93
18:42:23,97,3897,4096,61,44.69
18:42:33,100,3897,4096,62,46.33
18:42:44,100,3897,4096,61,47.90
18:42:54,83,3875,4096,61,44.68
18:43:04,100,3875,4096,62,44.74
18:43:14,99,3875,4096,62,47.78
18:43:24,96,3875,4096,62,48.35
18:43:34,81,3875,4096,61,46.77
18:43:44,100,3875,4096,61,45.05
18:43:54,100,3875,4096,61,49.10
18:44:04,100,2067,4096,62,47.83
18:44:14,100,3909,4096,61,44.84
18:44:24,100,3909,4096,61,46.24
18:44:34,100,3911,4096,62,48.18
18:44:44,100,3911,4096,62,48.09
18:44:54,100,3911,4096,62,43.39
18:45:04,100,3911,4096,62,45.83
18:45:14,99,3911,4096,62,48.02
18:45:24,100,3911,4096,62,47.95
18:45:35,100,3893,4096,62,46.21
18:45:45,100,3893,4096,62,45.21
18:45:55,100,3893,4096,61,43.84
18:46:05,99,3893,4096,61,44.70
18:46:15,100,3893,4096,62,43.13
18:46:25,100,3895,4096,62,43.69
18:46:35,99,3895,4096,60,43.91
18:46:45,100,3895,4096,61,43.27
18:46:55,100,2473,4096,64,53.05
18:47:05,99,3909,4096,62,46.58
18:47:15,83,3909,4096,61,43.60
18:47:26,100,3909,4096,60,44.03
18:47:36,100,3909,4096,60,44.17
18:47:46,100,3909,4096,61,45.46
18:47:56,99,3909,4096,62,47.41
18:48:06,100,3909,4096,61,46.00
18:48:16,100,3909,4096,62,46.03
18:48:26,100,3913,4096,61,43.72
18:48:36,83,3913,4096,61,46.04
18:48:46,100,3913,4096,61,43.83
18:48:56,82,3913,4096,61,44.36
18:49:06,73,3913,4096,62,46.37
18:49:17,100,3913,4096,61,44.41
18:49:27,82,3913,4096,61,45.92
18:49:37,99,3913,4096,62,46.44
18:49:47,71,2523,4096,64,63.12
