epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.9844,1.89638,2.40775,1.37745,0.37983,0.43409,0.31494,0.087,2.51665,1.95717,1.90178,0.000330846,0.000330846,0.000330846
2,118.124,1.41935,1.13698,1.13077,0.68026,0.61683,0.65535,0.25609,1.97016,1.74974,1.6552,0.000657604,0.000657604,0.000657604
3,190.332,1.36309,1.04283,1.12127,0.59104,0.4642,0.45936,0.1029,2.87231,1.90129,2.23663,0.000977762,0.000977762,0.000977762
4,257.133,1.35992,1.00495,1.11654,0.65724,0.56857,0.59508,0.28168,1.8594,1.69064,1.59498,0.0009703,0.0009703,0.0009703
5,326.356,1.36418,0.9653,1.11411,0.75651,0.7749,0.83591,0.48176,1.45575,1.16101,1.37546,0.0009604,0.0009604,0.0009604
6,394.68,1.27826,0.89402,1.08669,0.71691,0.61726,0.6921,0.26393,2.03338,1.39278,1.66292,0.0009505,0.0009505,0.0009505
7,470.241,1.27102,0.83394,1.07818,0.7773,0.69471,0.77056,0.41389,1.44629,1.10527,1.36728,0.0009406,0.0009406,0.0009406
8,536.146,1.31119,0.85509,1.09235,0.81129,0.80547,0.8787,0.53778,1.27197,1.03978,1.26464,0.0009307,0.0009307,0.0009307
9,606.741,1.21474,0.75567,1.0441,0.80158,0.80865,0.8727,0.58961,1.13673,0.94632,1.20718,0.0009208,0.0009208,0.0009208
10,665.328,1.24457,0.76924,1.06149,0.80428,0.86941,0.91004,0.62357,1.12546,0.84969,1.18298,0.0009109,0.0009109,0.0009109
11,738.008,1.22731,0.76232,1.04811,0.81056,0.79563,0.87989,0.60489,1.0784,0.90148,1.19325,0.000901,0.000901,0.000901
12,827.939,1.16237,0.71221,1.02496,0.8359,0.74714,0.82835,0.36492,1.94795,1.00916,1.58199,0.0008911,0.0008911,0.0008911
13,885.826,1.1621,0.71402,1.03437,0.82245,0.80694,0.86737,0.49201,1.43893,0.92732,1.31165,0.0008812,0.0008812,0.0008812
14,951.706,1.097,0.67385,1.0121,0.81771,0.82591,0.89529,0.53743,1.34702,0.89654,1.32398,0.0008713,0.0008713,0.0008713
