epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.8543,2.45269,4.20493,1.65043,0.01762,0.82592,0.13784,0.06932,1.4898,3.57584,1.11497,0.000326667,0.000326667,0.000326667
2,68.2136,1.53124,2.48254,1.10799,0.5368,0.22105,0.3085,0.11302,1.88026,2.84148,1.20145,0.000653466,0.000653466,0.000653466
3,98.0503,1.40055,1.95846,1.09051,0.34232,0.34311,0.26478,0.06613,2.24994,2.52253,1.43227,0.000973665,0.000973665,0.000973665
4,133.487,1.44482,1.76163,1.09915,0.63689,0.61499,0.61925,0.37778,1.27963,1.6375,1.12609,0.0009703,0.0009703,0.0009703
5,174.912,1.32908,1.51107,1.06194,0.68871,0.63166,0.69373,0.37731,1.4462,1.59417,1.18048,0.0009604,0.0009604,0.0009604
6,216.745,1.21459,1.29173,1.0196,0.687,0.67914,0.72304,0.43751,1.25488,1.4973,1.13074,0.0009505,0.0009505,0.0009505
7,265.356,1.21536,1.22853,1.01383,0.79335,0.80834,0.81744,0.5131,1.21753,1.23003,1.10611,0.0009406,0.0009406,0.0009406
8,293.31,1.14352,1.09076,0.99003,0.72609,0.7261,0.77415,0.27589,2.14663,1.4243,1.48739,0.0009307,0.0009307,0.0009307
9,329.33,1.14899,1.02973,0.99341,0.74804,0.74805,0.80298,0.40465,1.71709,1.3587,1.28772,0.0009208,0.0009208,0.0009208
10,361.959,1.12421,0.97207,0.98667,0.77763,0.81364,0.84843,0.50074,1.39026,1.22667,1.18714,0.0009109,0.0009109,0.0009109
11,396.155,1.11161,0.94222,0.98576,0.81668,0.85543,0.86252,0.39173,1.88933,1.18338,1.37817,0.000901,0.000901,0.000901
12,437.47,1.10615,0.91046,0.98173,0.84135,0.8474,0.9134,0.67572,0.98111,0.94088,1.01508,0.0008911,0.0008911,0.0008911
13,477.641,1.07438,0.87182,0.97537,0.80821,0.82818,0.86643,0.56162,1.13936,1.00264,1.10134,0.0008812,0.0008812,0.0008812
14,507.543,1.12745,0.8889,0.99199,0.79241,0.85111,0.89607,0.65652,0.98093,1.00072,1.03459,0.0008713,0.0008713,0.0008713
15,541.313,1.11279,0.86308,0.98874,0.84418,0.84998,0.91809,0.6613,1.02787,0.90992,1.02884,0.0008614,0.0008614,0.0008614
16,573.708,1.05883,0.81123,0.97116,0.83292,0.87467,0.90921,0.55977,1.37821,0.94597,1.12474,0.0008515,0.0008515,0.0008515
17,613.574,1.02817,0.79981,0.96829,0.81829,0.85072,0.90617,0.66857,0.9592,0.90594,1.05068,0.0008416,0.0008416,0.0008416
18,665.817,1.09385,0.79046,0.97758,0.79385,0.86414,0.8972,0.49454,1.57744,1.05051,1.2004,0.0008317,0.0008317,0.0008317
19,696.762,1.03714,0.74992,0.96464,0.88388,0.82321,0.9138,0.6029,1.17486,0.9206,1.0969,0.0008218,0.0008218,0.0008218
20,730.566,1.02248,0.73423,0.96605,0.83633,0.86335,0.90801,0.64813,1.01345,0.85924,1.04851,0.0008119,0.0008119,0.0008119
21,770.348,1.0333,0.73113,0.9703,0.83973,0.82966,0.89096,0.44104,1.76016,1.08456,1.36719,0.000802,0.000802,0.000802
22,818.358,1.09021,0.7469,0.97232,0.86202,0.88888,0.92359,0.61977,1.17719,0.84651,1.07796,0.0007921,0.0007921,0.0007921
23,858.992,1.00146,0.69892,0.95343,0.86427,0.8676,0.93245,0.60296,1.28375,0.90391,1.07983,0.0007822,0.0007822,0.0007822
